title,directions,NER
Mango With Tomatoes And Scallions Or Leeks,"[""Slice mango, chunk tomatoes and slice leek; toss well."", ""Whisk together the lemon juice and pulp, safflower oil and dry mustard; pour over mango mixture."", ""Toss well."", ""Serve chilled or at room temperature.""]","[""tomatoes"", ""lemon juice"", ""scallions"", ""safflower oil"", ""mango"", ""mustard""]"
Vegetable Pizza,"[""Spread crescent rolls flat, bake and cut.""]","[""mayo"", ""crescent rolls"", ""dressing"", ""cream cheese""]"
Luau,"[""Brown sausage."", ""Remove sausage and cook the pepper, onions and celery in as little grease as possible."", ""Boil 7 cups water."", ""In boiling water, put soup, rice and almonds."", ""Don't cook. Immediately stir all ingredients together."", ""Cover and bake at 350\u00b0 for 40 to 45 minutes."", ""Stir once or twice while baking."", ""Serves 10 to 12.""]","[""celery"", ""pork sausage"", ""noodle soup"", ""onions"", ""almonds"", ""white minute rice"", ""green pepper""]"
Ma'S Dill Pickles,"[""Pack dills and cukes in jar."", ""Boil brine and pour over hot and seal.""]","[""vinegar"", ""sugar"", ""salt"", ""water""]"
Stir-Fried Gumbo,"[""In a large skillet, melt butter and saute bell peppers, jalapeno, onion and carrot; cook until onion is clear."", ""Add the stewed tomatoes; stir and cook about 5 minutes."", ""Add 3/4 cup water, stirring until mixture boils."", ""Add meat, stirring well.""]","[""oil"", ""tomatoes"", ""green bell peppers"", ""onion"", ""okra"", ""flour"", ""carrot"", ""ground beef"", ""jalapeno pepper"", ""butter"", ""salt""]"
No Bake Chocolate Cookies,"[""Mix sugar, cocoa, milk and oleo in a saucepan."", ""Bring to a boil and boil for 1 minute."", ""Remove from stove and add remaining ingredients."", ""Stir well."", ""Drop by teaspoon on wax paper."", ""Makes 4 to 5 dozen.""]","[""oleo"", ""sugar"", ""vanilla"", ""oats"", ""peanut butter"", ""cocoa"", ""milk""]"
Carrot Cake,"[""Place dry ingredients in a large bowl and mix thoroughly."", ""Add rest of ingredients and mix well."", ""Bake in well-greased and floured pans."", ""Bake at 350\u00b0 for 30 minutes."", ""Remove from pans and cool."", ""Makes 2 (9-inch) or 3 (8-inch) layers.""]","[""oil"", ""sugar"", ""eggs"", ""cinnamon"", ""soda"", ""flour"", ""nuts"", ""carrots"", ""salt""]"
No Fat Rice And Vegetable Dish,"[""Spray skillet with vegetable spray and saute squash and onion until tender. Add mushrooms, tomatoes and seasonings. Cook 5 minutes. Mix with cooked rice.""]","[""summer squash"", ""lemon pepper"", ""mushrooms"", ""basil"", ""onions"", ""fresh tomato"", ""rice"", ""garlic"", ""zucchini""]"
Oyster Fritters,"[""Sift flour, baking powder and baking soda."", ""Beat eggs well. Add buttermilk and salt and beat again."", ""Then mix in dry ingredients and oyster juice."", ""Add oysters and stir to coat."", ""Deep fry at 350\u00b0.""]","[""buttermilk"", ""baking powder"", ""baking soda"", ""eggs"", ""flour"", ""oysters"", ""salt""]"
Quick Coffee Cake(Double Recipe)  ,"[""Mix all together."", ""Spread in a 13 x 9-inch pan or two 8-inch pans."", ""Sprinkle top thickly with sugar and cinnamon (is good with chopped nuts)."", ""Bake at 375\u00b0 for 15 to 21 minutes.""]","[""oleo"", ""baking powder"", ""sugar"", ""eggs"", ""cinnamon"", ""flour"", ""milk"", ""salt""]"
Belly Buttons,"[""Preheat oven to 400\u00b0."", ""Follow directions for pie crust mix. Roll out pie crust on a flat, floured surface."", ""Butter crust with butter or margarine."", ""Sprinkle on brown sugar until it covers pie crust, then sprinkle cinnamon over brown sugar."", ""Roll crust like a long, thin cinnamon roll."", ""Cut sections 1-inch thick."", ""Place sections on a buttered 13 x 9-inch casserole dish in an upright position so that the swirls are showing on both sides."", ""Bake 15 minutes."", ""Let cool 3 minutes and enjoy.""]","[""brown sugar"", ""cinnamon"", ""crust"", ""flour"", ""butter""]"
Tater Tot Casserole,"[""Sear meat and onion until browned; add mixed vegetables and soup and mix well."", ""Turn into buttered casserole dish and top with Tater Tots."", ""Bake at 350\u00b0 for 45 minutes.""]","[""tater"", ""cream of mushroom soup"", ""ground lean beef"", ""onion"", ""mixed vegetables""]"
Cheesy Cornbread,"[""Cook bacon in an 8-inch cast-iron skillet until crisp."", ""Remove bacon, reserving 2 tablespoons drippings."", ""Heat skillet with drippings in a 425\u00b0 oven for 5 minutes."", ""Combine crumbled bacon and cornbread mix and remaining 4 ingredients, stirring just until dry ingredients are moistened."", ""Remove skillet from oven."", ""Pour mixture into skillet."", ""Bake at 425\u00b0 for 30 to 35 minutes or until golden brown.""]","[""bacon"", ""eggs"", ""swiss"", ""mayonnaise"", ""cornbread mix"", ""cream-style""]"
Rice Crispy Chicken,"[""Measure Rice Krispies cereal; crush to 2 cups."", ""Place in shallow dish."", ""Stir in paprika."", ""Set aside.""]","[""egg"", ""pepper"", ""all-purpose"", ""poultry seasoning"", ""margarine"", ""rice krispies"", ""milk"", ""paprika"", ""chicken"", ""salt""]"
No-Fat Added Oven Fried Chicken,"[""Heat oven to 350\u00b0."", ""Rinse chicken with cold running water; blot dry with paper towels."", ""Coat nonstick baking sheet with vegetable cooking spray.""]","[""vegetable cooking spray"", ""parmesan cheese"", ""onion powder"", ""thyme"", ""garlic powder"", ""ground black pepper"", ""skinless"", ""nonfat buttermilk"", ""bread crumbs"", ""salt""]"
Sauerkraut Salad,"[""Mix sauerkraut, green bell pepper, celery, pimento and onion together.""]","[""oil"", ""vinegar"", ""sugar"", ""green bell pepper"", ""onion"", ""celery"", ""sauerkraut"", ""pimento""]"
Sour Cream Meat Loaf,"[""Combine all ingredients in large mixing bowl; blend well. Pack in a 9 x 5 x 3-inch loaf pan."", ""Bake at 350\u00b0 for 1 1/2 to 1 3/4 hours."", ""Serves 6.""]","[""apple"", ""bacon"", ""sour cream"", ""potato"", ""pepper"", ""nutmeg"", ""ground lean beef"", ""eggs"", ""onion"", ""carrot"", ""dry mustard"", ""salt""]"
Stuffed Chicken Breast,"[""Preheat oven to 375\u00b0."", ""Cook stuffing as directed on package. Slice green pepper in small strips, then cut strips in half."", ""Mix water and soup in a bowl.""]","[""chicken breasts"", ""pepper"", ""hot water"", ""cream of mushroom soup"", ""garlic"", ""paprika"", ""stove top stuffing"", ""green pepper""]"
Meg'S Power Peanut Butter Balls,"[""Melt butter and pour over the graham cracker crumbs, confectioners sugar and peanut butter."", ""Mix well and shape into bite size balls."", ""Melt chocolate chips in double boiler with the paraffin."", ""Dip the peanut butter balls in the chocolate and place on a greased cookie sheet."", ""Mmmmmmm good!""]","[""paraffin"", ""graham cracker crumbs"", ""confectioners sugar"", ""chocolate chips"", ""butter"", ""crunchy peanut butter""]"
Indian Meat Loaf,"[""Combine beef, pork and seasonings."", ""Mix well."", ""Add remaining ingredients."", ""Place in a loaf pan."", ""Bake at 350\u00b0 for 1 1/2 hours.""]","[""ground pork"", ""egg"", ""corn meal"", ""tomatoes"", ""pepper"", ""onion"", ""cream-style corn"", ""sage"", ""ground beef"", ""green pepper"", ""salt""]"
Creamy Cheese Crab Dip,"[""Mix the cream cheese, wine and garlic powder."", ""Add the crabmeat."", ""Bake in a casserole at 350\u00b0 for about 20 minutes. Serve with crackers or toast rounds.""]","[""philadelphia cream cheese"", ""garlic powder"", ""white wine"", ""crabmeat""]"
Skillet Beef And Macaroni,"[""In a skillet, cook beef and onion until the meat is browned and onion is tender."", ""Drain."", ""Stir in the remaining ingredients; bring to boil."", ""Reduce heat; cover and simmer until macaroni is tender, about 20 minutes."", ""Stir occasionally, adding additional water if needed."", ""Yields 4 to 6 servings.""]","[""macaroni"", ""salt"", ""pepper"", ""chili powder"", ""onion"", ""worcestershire sauce"", ""water"", ""ground beef"", ""green pepper"", ""tomato sauce""]"
Jiffy Beef Stroganoff,"[""Brown meat."", ""Sprinkle onion soup mix and ginger over meat. Arrange layer of noodles over meat and add mushrooms."", ""Pour water over noodles."", ""Cook on low 20 minutes."", ""Blend flour into sour cream and add to stroganoff."", ""Cook 3 minutes.""]","[""sour cream"", ""ginger"", ""onion soup"", ""noodles"", ""mushrooms"", ""water"", ""flour"", ""ground beef""]"
Baked Cheese Sandwiches,"[""Make 4 cheese sandwiches (with 2 slices of American cheese in each sandwich)."", ""Remove crusts and arrange in baking dish."", ""Mix eggs, milk and dry mustard and pour over sandwiches."", ""Bake in 400\u00b0 oven for 20 minutes or until brown on top.""]","[""bread"", ""eggs"", ""milk"", ""cheese slices"", ""mustard""]"
Teresa'S Brisket,"[""Cover with all ingredients and refrigerate overnight in a 13 x 9-inch pan."", ""Next morning add 1 bottle Worcestershire sauce and black pepper."", ""Bake in 275\u00b0 oven for 6 to 8 hours."", ""Cover with barbecue sauce.""]","[""black pepper"", ""liquid smoke"", ""brisket"", ""onion"", ""worcestershire sauce"", ""garlic"", ""celery powder""]"
Heavenly Rice,"[""Cook rice. Drain off excess water."", ""While hot, mix in drained pineapple. Add sugar to taste."", ""Let set until cold."", ""Whip the cream and fold into rice."", ""Add a few marshmallows, if you like.""]","[""sugar"", ""marshmallows"", ""rice"", ""cream"", ""pineapple""]"
Baked Salmon Loaf,"[""You may add 1 1/2 tablespoons dill weed (fresh if possible); I don't.""]","[""salmon"", ""onion"", ""fresh mushrooms"", ""celery"", ""egg whites"", ""milk"", ""bread crumbs""]"
Favorite Vegetable Soup(Low-Fat)  ,"[""In 1 1/2-quart nonstick saucepan, combine onion, broth mix and garlic; cook, stirring occasionally, until onion is translucent. Add remaining ingredients and stir to combine; cover and cook over low heat, stirring occasionally, for about 10 minutes."", ""Add 2 cups water and bring to a boil."", ""Reduce heat to medium, cover and cook until vegetables are soft, about 20 minutes. Using a slotted spoon, remove about 1/2 cup vegetables from saucepan and set aside."", ""In blender container, in 2 batches, puree remaining soup; return pureed mixture to saucepan, add reserved vegetables and heat."", ""Makes 2 servings.""]","[""pepper"", ""onion"", ""basil"", ""carrots"", ""parsley"", ""packets instant chicken broth"", ""garlic"", ""zucchini""]"
Sour Cream Lasagna,"[""Cook noodles according to package directions; rinse and drain. Brown hamburger in skillet."", ""Add next 6 ingredients; mix well. Cook for 5 minutes; remove from heat."", ""Combine noodles with cottage cheese, sour cream and green onions."", ""Alternate layers of noodle mixture and meat mixture in 2-quart baking dish, ending with meat mixture."", ""Top with Cheddar cheese."", ""Bake at 350\u00b0 for 30 minutes, or until heated through.""]","[""sour cream"", ""pepper"", ""green onions"", ""garlic salt"", ""liquid smoke"", ""brown sugar"", ""cheddar cheese"", ""egg dumpling noodles"", ""cottage cheese"", ""tomato sauce"", ""ground beef"", ""salt""]"
Tater Tot Casserole,"[""Lightly brown ground meat and onion."", ""Drain off fat."", ""Spread in bottom of casserole dish."", ""Mix cream soup with 1/2 can milk. Spread corn over meat and soup over corn."", ""Don't stir."", ""Sprinkle cheese over soup."", ""Cover top with frozen Tater Tots."", ""Bake at 325\u00b0, covered, about 30 to 40 minutes, or longer if potatoes are not done.""]","[""tater"", ""cheddar cheese"", ""onion"", ""cream soup"", ""ground beef"", ""whole kernel corn""]"
Earthquake Cake,"[""Prepare cake mix according to package directions."", ""Grease 9 x 13-inch pan."", ""Combine pecans and coconut; sprinkle in bottom of pan."", ""Pour prepared cake mix over pecan and coconut mixture.""]","[""oleo"", ""chocolate cake"", ""pecans"", ""cream cheese"", ""coconut""]"
Raw Gluten,"[""Mix whole wheat flour with water into a firm texture."", ""Make sure all flour is mixed well (medium to firm dough)."", ""Let set for 45 minutes (no less)."", ""Put dough in a colander and while running cold water, continually squeeze dough to wash out starch from mixture."", ""Continue to squeeze dough, while at the same time, making sure dough stays firmly together."", ""Keep rinsing until all graininess is removed and water is clear from rinsing."", ""Cover with water until ready to use."", ""Yield: 1 pound.""]","[""whole wheat flour"", ""water""]"
Lemon Chicken And Zucchini,"[""Skin, split and bone chicken breasts."", ""Skin and bone thighs. Cut chicken into 1-inch pieces."", ""Blend chicken broth into cornstarch; stir in soy sauce and sugar."", ""Set aside.""]","[""sugar"", ""chicken breasts"", ""soy sauce"", ""lemon juice"", ""cooking oil"", ""cornstarch"", ""ginger root"", ""chicken broth"", ""zucchini""]"
Meat Balls,"[""Mix beef, sweet relish, garlic powder, onion powder, onion salt and egg."", ""Form into balls."", ""Put into bag of Shake 'N Bake. Cover good."", ""Cook at 350\u00b0 for 30 to 40 minutes.""]","[""egg"", ""garlic powder"", ""onions"", ""sweet relish"", ""onion salt"", ""n"", ""ground beef""]"
Butternut Chewies,"[""Beat eggs until light and foamy."", ""Beat in sugar, vanilla and margarine until creamy."", ""Combine flour, baking powder and salt. Add to egg mixture."", ""Mix until blended."", ""Stir in nuts."", ""Mixture will be stiff."", ""Spread in 13 x 9-inch greased pan."", ""Bake at 350\u00b0 for 25 to 30 minutes."", ""Makes 2 dozen.""]","[""baking powder"", ""vanilla"", ""eggs"", ""light brown sugar"", ""flour"", ""nuts"", ""margarine"", ""salt""]"
Tennessee Tea,"[""Put all ingredients in gallon pitcher. Finish filling with water. Stir. Chill or serve over ice.""]","[""tea"", ""country"", ""sugar"", ""white grape juice""]"
Apple Waldorf Salad,"[""Chop apples; do not peel."", ""Sprinkle with lemon juice."", ""Add celery, yogurt, pecans and spices."", ""Serve on purple cabbage or lettuce leaf."", ""Makes 4 servings."", ""Calories:"", ""61.8."", ""Fat grams: 1.405.""]","[""apple"", ""lemon juice"", ""red delicious apple"", ""nutmeg"", ""cinnamon"", ""pecans"", ""nonfat yogurt"", ""celery""]"
Jackie'S Coconut Pie,"[""Melt margarine."", ""Add eggs and sugar to margarine and beat. Add buttermilk and mix thoroughly."", ""Add vanilla and coconut. Mix thoroughly."", ""Pour into 2 deep dish pie shells."", ""Bake at 300\u00b0 for 1 hour.""]","[""buttermilk"", ""sugar"", ""vanilla"", ""eggs"", ""coconut"", ""butter""]"
Navy Bean Soup,"[""Mix all ingredients in a large Dutch oven. Add water, if needed to reach your favorite consistency."", ""Cook until vegetables are tender, but not mushy!"", ""Makes 6 servings.""]","[""potatoes"", ""celery salt"", ""tomatoes"", ""pepper"", ""navy beans"", ""salt pork"", ""onions"", ""carrots"", ""salt""]"
Layered Banana Pineapple Dessert,"[""Mix graham cracker crumbs, sugar and margarine in a 13 x 9-inch pan."", ""Press evenly onto bottom of pan."", ""Arrange banana slices on crust."", ""Beat cream cheese in large bowl with wire whisk until smooth."", ""Gradually beat in milk."", ""Add pudding mixes."", ""Beat until well blended."", ""Spread evenly over banana slices."", ""Spoon pineapple evenly over pudding mixture."", ""Spread with whipped topping over pineapple."", ""Refrigerate 3 hours or until ready to serve.""]","[""sugar"", ""graham cracker crumbs"", ""vanilla instant pudding"", ""cream cheese"", ""bananas"", ""margarine"", ""cold milk"", ""pineapple""]"
Scalloped Potatoes,"[""Saute the onion in the butter until translucent."", ""Add the potatoes and combine."", ""Add the lemon juice, thyme and salt."", ""Mix well.""]","[""potatoes"", ""lemon juice"", ""bread crumbs"", ""nonstick vegetable cooking spray"", ""onion"", ""thyme"", ""milk"", ""whole wheat flour"", ""butter"", ""salt""]"
Herb Butter,"[""Cream butter and lemon juice."", ""Beat in herbs, salt and pepper and chill."", ""Use on corn-on-the-cob or other vegetables.""]","[""fresh herb parsley"", ""lemon juice"", ""taragon basil"", ""butter"", ""salt""]"
Turnip Greens,"[""Wash greens in cold water to remove grit or any dirt."", ""In a large pot filled 3/4 full of water, add the bacon grease and salt. Bring to a boil."", ""Add the greens by the handful to the pot, letting them have a"", ""little time to start to cook down before adding more."", ""When pot is full, you will need to poke the greens down for a few minutes as they like to come to the top of the pot and run over."", ""Add 1/4 teaspoon of baking soda to the greens to take the bitterness out."", ""Cook at a boil until greens are tender, perhaps a half hour."", ""Drain well."", ""While greens are draining in the colander, cut them up using two knives.""]","[""greens"", ""bacon grease"", ""baking soda"", ""salt""]"
Bourbon Balls,"[""Beat butter in medium-size bowl until light and fluffy."", ""Beat in gradually 10x confectioners sugar."", ""Slowly beat in bourbon. Chill 1 hour or until mixture is stiff enough to shape."", ""Roll into 1-inch balls."", ""Arrange in single layer on wax paper-lined tray. Chill 1 hour."", ""Melt chocolate in top of double boiler over simmering water."", ""Remove chocolate from heat; cool until a good dipping consistency."", ""Dip bourbon balls with 3-pronged fork halfway into chocolate."", ""Return to wax paper-lined tray."", ""Place pecan half on top of each ball."", ""When all the bourbon balls have been dipped, return tray to refrigerator."", ""Chill about 30 minutes or until firm. Makes about 3 dozen.""]","[""semi-sweet chocolate"", ""pecan"", ""confectioners sugar"", ""bourbon"", ""butter""]"
Pinto Beans,"[""Look over beans and remove all split beans and gravel (if any)."", ""Rinse well."", ""Put into 2 to 3-quart saucepan."", ""Add ginger; bring to boil and cover with lid."", ""Cook until beans have swollen and turned color, about 1 hour."", ""Add grease and salt and continue to cook, keeping water about 1-inch above beans at all times."", ""When beans begin to get tender, add sugar and cook until very tender.""]","[""sugar"", ""beans"", ""ground ginger"", ""melted meat drippings"", ""salt""]"
Cook While You Sleep Cookies,"[""Preheat oven to 350\u00b0."", ""Beat egg whites until foamy; add salt and cream of tartar."", ""Beat until stiff."", ""Add 2 tablespoons of sugar at a time, beating well after each addition."", ""Stir in vanilla, chocolate chips, nuts and coconut."", ""Drop by teaspoon onto foil lined cookie sheets."", ""Put in the oven and turn off oven immediately."", ""Do not open the door for at least 8 hours."", ""Carefully remove cookies from foil."", ""Makes 40 to 50 cookies.""]","[""sugar"", ""egg whites"", ""nuts"", ""coconut"", ""chocolate chips"", ""cream of tartar"", ""salt""]"
Chili Spaghetti,"[""Fry mango and onion with piece of butter, then brown ground beef in same skillet."", ""Pour tomato sauce and chili powder in."", ""Let simmer together about 20 minutes.""]","[""chili powder"", ""onion"", ""mango"", ""hamburger"", ""tomato sauce""]"
Cherry Delight,"[""Into a medium size bowl, put in pineapple. Add dry jello. Stir. Then add cottage cheese. Stir and finally add Cool Whip. Stir. Refrigerate.""]","[""cherry jello"", ""pineapple"", ""cottage cheese""]"
Banana Split Dessert,"[""Combine cracker crumbs and 6 tablespoons melted butter, mixing well."", ""Press crumb mixture into bottoms of a 13 x 9-inch pan. Combine 1/2 cup butter, sugar, vanilla and eggs."", ""Beat until fluffy."", ""Spread sugar mixture over crumb layer."", ""Slice bananas lengthwise."", ""Arrange over sugar mixture."", ""Spoon pineapple over bananas."", ""Cover pineapple layer with whipped cream."", ""Sprinkle with nuts."", ""Garnish with cherries."", ""Chill for 6 hours before serving.""]","[""vanilla extract"", ""eggs"", ""powdered sugar"", ""bananas"", ""maraschino cherries"", ""nuts"", ""whipped cream"", ""graham crackers"", ""butter"", ""pineapple""]"
Strawberry Salad,"[""Add water to Jell-O."", ""Stir to dissolve."", ""Add strawberries, bananas and pineapple."", ""Pour half into pan."", ""Let harden.""]","[""sour cream"", ""frozen strawberries"", ""strawberry jell-o"", ""bananas"", ""boiling water"", ""pineapple""]"
Peanut Butter Pie,"[""Beat eggs."", ""Mix eggs, corn syrup, sugar, peanut butter and vanilla together."", ""Pour into unbaked pie crust."", ""Bake at 350\u00b0 for 45 to 60 minutes, until top is brown and crisp.""]","[""vanilla"", ""corn syrup"", ""eggs"", ""peanut butter"", ""crust""]"
Foolproof Fudge,"[""In a heavy saucepan, over low heat, melt chips with milk. Remove from heat, stir in remaining ingredients."", ""Spread evenly in 8-inch square dish."", ""Chill 2 hours before cutting, then store at room temperature."", ""Makes 1 3/4 pounds.""]","[""vanilla"", ""nuts"", ""milk"", ""chocolate chips"", ""salt""]"
Hamburger Party Balls,"[""Mix well."", ""Shape into balls."", ""Roll in remainder of Shake 'n Bake and bake in 350\u00b0 oven for 20 to 30 minutes or until done. Toothpicks can be put in balls when done.""]","[""onion"", ""carnation cream"", ""n"", ""hamburger"", ""dill pickles""]"
Pigs In Blanket,"[""Wrap wiener"", ""rolls around hot dogs and cook as directed on package."", ""Serve"", ""warm"", ""with mustard."", ""(Can be done ahead of time and warmed in microwave.)""]","[""crescent rolls""]"
Fresh Tomato Salsa,"[""Combine all ingredients, stirring gently; cover and chill.""]","[""oregano"", ""tomatoes"", ""salt"", ""purple onion"", ""cilantro"", ""lime juice"", ""jalapeno peppers"", ""garlic"", ""tomato sauce""]"
Fresh Apple Cake #2,"[""Mix oil, sugar and eggs in bowl."", ""Beat until creamy."", ""Add a little at a time the flour, salt, soda and baking powder."", ""Add apples, nuts, coconut and vanilla."", ""Bake for 1 hour in angel food pan at 350\u00b0""]","[""baking powder"", ""sugar"", ""vanilla"", ""eggs"", ""soda"", ""cooking oil"", ""nuts"", ""flour"", ""coconut"", ""apples"", ""salt""]"
Pumpkin Pie Dessert,"[""In a bowl, combine the cracker crumbs, sugar and butter. Press into a greased 9x13 pan. Set aside. In a bowl, whisk milk and pudding mix for 2 minutes. Stir in pumpkin and spices. Spread over crust. Refrigerate for 3 hours or until set. Garnish with whipped topping and nuts.""]","[""cold milk"", ""sugar"", ""instant vanilla pudding"", ""ground nutmeg"", ""ground ginger"", ""topping"", ""pumpkin"", ""margarine"", ""pumpkin pie spice"", ""ground cinnamon"", ""butter"", ""peanuts""]"
Vermicelli Salad,"[""Make the night before and refrigerate.""]","[""vermicelli noodles"", ""lemon juice"", ""green onions"", ""wesson oil"", ""black olives"", ""mayonnaise"", ""seasoning"", ""pimento""]"
Two Potato Bake,"[""Coat an 11 x 13 x 2-inch baking dish with vegetable cooking spray."", ""Layer 2 cups sweet potatoes in half of dish."", ""Layer 2 cups of red potatoes in other half."", ""Sprinkle evenly with onion. Drizzle with 1 1/2 tablespoons of oleo."", ""Sprinkle with 1/4 teaspoon of salt and 1/8 teaspoon of pepper."", ""Repeat procedure with remaining potatoes, oleo, salt and pepper.""]","[""oleo"", ""fresh onion"", ""parmesan cheese"", ""red potatoes"", ""milk"", ""sweet potatoes"", ""parsley"", ""salt""]"
Spinach Dip,"[""You can also add some shrimp or crab meat or both.""]","[""sour cream"", ""loaves"", ""green onions"", ""mayonnaise"", ""vegetable soup""]"
Scalloped Potatoes,"[""Lightly grease a 9 x 13-inch pan."", ""Mix soup, sour cream and chives together."", ""Layer in pan the potatoes, soup mixture and cheese."", ""Repeat, ending with grated cheese on top."", ""Bake at 350\u00b0 for 1 hour.""]","[""cream of chicken soup"", ""sour cream"", ""frozen hash brown potatoes"", ""cheddar cheese"", ""chives""]"
Pork Chop Dinner,"[""Layer ingredients in a 13 x 9 x 2-inch baking pan."", ""Pour envelope of dry onion soup and 2 cups of water over top."", ""(For richer broth, add another envelope of onion soup and one more cup of water.)"", ""Lay foil over top and bake at 350\u00b0 for 2 hours.""]","[""potatoes"", ""pork chops"", ""fresh mushrooms""]"
Chicken Casserole,"[""Mix first nine ingredients."", ""Saute 5 minutes butter, almonds and corn flakes."", ""Bake at 350\u00b0 for 35 minutes."", ""Makes 4 to 6 servings.""]","[""cream of chicken soup"", ""slivered almonds"", ""lemon juice"", ""water chestnuts"", ""eggs"", ""onion"", ""corn flakes"", ""celery"", ""mayonnaise"", ""rice"", ""butter"", ""chicken""]"
Cabbage And Noodles,"[""Cut cabbage and boil until tender."", ""Boil noodles until tender. In a frying pan, saute onions in butter."", ""When onions are tender, add cabbage and noodles."", ""Keep stirring and adding butter, if needed, so it doesn't stick."", ""Add salt and pepper to taste.""]","[""cabbage"", ""butter"", ""onions"", ""egg noodles""]"
Scalloped Tomatoes(Heart Smart)  ,"[""Preheat oven to 375\u00b0."", ""In a 1-quart casserole sprayed with nonstick cooking spray, place tomatoes in juice."", ""Stir in green pepper, onion, garlic, basil and pepper."", ""In a small bowl, combine bread cubes and margarine; sprinkle over tomatoes."", ""Bake about 30 minutes until hot and bubbly."", ""Makes 4 servings.""]","[""stale"", ""tomatoes"", ""pepper"", ""onion"", ""basil"", ""margarine"", ""garlic"", ""green pepper""]"
Hobo Dinner,"[""Shape hamburger into patty."", ""Place vegetables on top of hamburger (which is in the center of a 12-inch square piece of foil)."", ""Season with salt, pepper and butter."", ""Fold ends of foil in a drugstore wrap."", ""Bake at 400\u00b0 for 1 hour."", ""Serves 1 person.""]","[""potato"", ""onion"", ""carrot"", ""patty of butter"", ""hamburger"", ""salt""]"
Monkey Bread,"[""Put pecan pieces and maraschino cherries into bundt pan."", ""Add the 1 c. granulated sugar in a plastic bag along with the 2 tsp. cinnamon. Toss a few of the biscuit quarters in the mixture and put into bundt pan. Continue coating all the"", ""biscuit pieces. Heat margarine or butter, brown sugar, and 1 Tbsp. cinnamon. Pour over the biscuits. Bake at 350\u00b0 for 35 minutes. Cool 15 minutes, then, turn out onto cake dish. Serve warm.""]","[""sugar"", ""regular"", ""pecan"", ""brown sugar"", ""cinnamon"", ""maraschino cherries"", ""margarine""]"
Mixed Up Marinade,"[""Stir all ingredients together."", ""Pour over steaks."", ""Marinate at least 2 hours."", ""Grill or broil steaks as usual.""]","[""red wine vinegar"", ""pepper"", ""soy sauce"", ""steak sauce"", ""garlic salt"", ""onion powder"", ""ketchup""]"
Banana Nut Muffins,"[""Preheat oven to 400\u00b0."", ""Fit 12 muffin cups with paper liners. Coat each with cooking spray."", ""Mix flour, walnuts, wheat germ, brown sugar, baking powder, cinnamon, salt and nutmeg in large bowl."", ""Stir in bananas, milk, butter and egg."", ""Mix just until blended."", ""Using an ice cream scoop, fill muffin cups evenly with batter."", ""Sprinkle with cinnamon sugar, if desired."", ""Bake muffins until a skewer inserted into centers comes out clean, 20 to 22 minutes."", ""Cool 1 minute, then remove from the muffin pan and cool on a wire rack. Makes 1 dozen muffins.""]","[""toasted wheat germ"", ""baking powder"", ""egg"", ""cinnamon sugar"", ""brown sugar"", ""cinnamon"", ""ground nutmeg"", ""bananas"", ""flour"", ""walnuts"", ""milk"", ""butter"", ""salt""]"
Fudge Pie,"[""Mix all ingredients together and pour into greased and floured pie pan."", ""Bake at 350\u00b0 for 30 minutes.""]","[""sugar"", ""eggs"", ""flour"", ""cocoa"", ""butter"", ""salt""]"
Brazilian Coffee Cookies,"[""Mix shortening, sugars, egg, vanilla and milk until fluffy. Sift dry ingredients together."", ""Add to sugar mixture; mix thoroughly."", ""Shape dough into 1-inch balls."", ""Place 2 inches apart on ungreased cookie sheet."", ""Flatten to 1/8-inch thickness."", ""Bake at 400\u00b0 for 8 to 10 minutes or until lightly browned.""]","[""egg"", ""sugar"", ""vanilla"", ""baking powder"", ""shortening"", ""brown sugar"", ""baking soda"", ""flour"", ""powdered instant coffee"", ""milk"", ""salt""]"
Quick-Energy Pickups,"[""Crush graham crackers."", ""Mix remaining ingredients in a bowl. Shape teaspoonfuls of mixture into 1-inch balls."", ""Roll the balls in the graham cracker crumbs until coated."", ""Refrigerate until firm.""]","[""powdered sugar"", ""milk"", ""graham crackers"", ""semi-sweet chocolate chips"", ""crunchy peanut butter""]"
Chicken With Rice(Arroz Con Pollo)  ,"[""Mix salt, garlic, oregano, tomato sauce, tomatoes, peppers, onion, achiote, olives and capers."", ""Add the chicken and cook for a few minutes."", ""Add the rice and water."", ""Stir and cook until the water has been absorbed, then cover until the rice is done."", ""Serve hot."", ""Garnish with strips of pimentos and peas.""]","[""peas"", ""oregano"", ""cook chicken"", ""tomatoes"", ""onion"", ""water"", ""pimentos"", ""capers"", ""achiote coloring"", ""rice"", ""olives"", ""tomato sauce"", ""garlic"", ""green pepper"", ""salt""]"
Puff Pancakes,"[""Preheat oven to 425\u00b0."", ""Grease a 10-inch cast-iron or ovenproof skillet."", ""Beat eggs and add rest of ingredients."", ""Beat until smooth."", ""Pour into skillet and bake 15 minutes."", ""Reduce heat to 350\u00b0 and bake 10 to 15 minutes or until puffy and golden brown. Serve with Vanilla Cream Syrup."", ""Serves 6.""]","[""sugar"", ""eggs"", ""flour"", ""milk"", ""butter"", ""salt""]"
Easy Hot Dish,"[""Brown hamburger with onion and celery."", ""Mix with remaining ingredients."", ""Put in oven dish and bake, uncovered, until thoroughly heated."", ""Or keep it warm in frying pan on top of stove.""]","[""cream of chicken soup"", ""veg-all"", ""hamburger"", ""onion""]"
